settlement_id,utr_reference,amount_inr,settlement_date,fee_inr,tax_inr,narration,batch_id
STL-000054,UTR-SYN-000054,4312200,2026-08-02,49092,8836,Settlement for INV-000054 batch BATCH-000054,BATCH-000054
STL-000055,UTR-SYN-000055,1288900,2026-08-25,15418,2775,Settlement for INV-000055 batch BATCH-000055,BATCH-000055
STL-000056,UTR-SYN-000056,33923900,2026-08-18,344159,61948,Settlement for INV-000056 batch BATCH-000056,BATCH-000056
STL-000057,UTR-SYN-000057,4575500,2026-08-19,83676,15061,Settlement for INV-000057 batch BATCH-000057,BATCH-000057
STL-000058,UTR-SYN-000058,1274100,2026-08-26,31321,5637,Settlement for INV-000058 batch BATCH-000058,BATCH-000058
STL-000059,UTR-SYN-000059,686200,2026-08-22,7920,1425,Settlement for INV-000059 batch BATCH-000059,BATCH-000059
STL-000060,UTR-SYN-000060,765800,2026-08-26,16971,3054,Settlement for INV-000060 batch BATCH-000060,BATCH-000060
STL-000061,UTR-SYN-000061,1162400,2026-08-26,27853,5013,Settlement for INV-000061 batch BATCH-000061,BATCH-000061
STL-000062,UTR-SYN-000062,87100,2026-08-13,2010,361,Settlement for INV-000062 batch BATCH-000062,BATCH-000062
STL-000063,UTR-SYN-000063,15463300,2026-08-12,225421,40575,Settlement for INV-000063 batch BATCH-000063,BATCH-000063
STL-000064,UTR-SYN-000064,472800,2026-08-13,7056,1270,Settlement for INV-000064 batch BATCH-000064,BATCH-000064
STL-000065,UTR-SYN-000065,23410100,2026-08-22,578633,104153,Settlement for INV-000065 batch BATCH-000065,BATCH-000065
STL-000066,UTR-SYN-000066,1180800,2026-08-06,22091,3976,Settlement for INV-000066 batch BATCH-000066,BATCH-000066
STL-000067,UTR-SYN-000067,36277500,2026-08-12,759221,136659,Settlement for INV-000067 batch BATCH-000067,BATCH-000067
STL-000068,UTR-SYN-000068,37100,2026-08-13,871,156,Settlement for INV-000068 batch BATCH-000068,BATCH-000068
STL-000069,UTR-SYN-000069,42160700,2026-08-01,750410,135073,Settlement for INV-000069 batch BATCH-000069,BATCH-000069
STL-000070,UTR-SYN-000070,24095600,2026-08-03,583911,105103,Settlement for INV-000070 batch BATCH-000070,BATCH-000070
STL-000071,UTR-SYN-000071,99200,2026-08-24,2331,419,Settlement for INV-000071 batch BATCH-000071,BATCH-000071
STL-000072,UTR-SYN-000072,22101300,2026-08-23,319028,57425,Settlement for INV-000072 batch BATCH-000072,BATCH-000072
STL-000073,UTR-SYN-000073,39861400,2026-08-22,845939,152269,Settlement for INV-000073 batch BATCH-000073,BATCH-000073
STL-000074,UTR-SYN-000074,22800,2026-08-10,326,58,Settlement for INV-000074 batch BATCH-000074,BATCH-000074
STL-000075,UTR-SYN-000075,28162300,2026-08-22,371897,66941,Settlement for INV-000075 batch BATCH-000075,BATCH-000075
STL-000076,UTR-SYN-000076,1555700,2026-08-03,34655,6237,Settlement for INV-000076 batch BATCH-000076,BATCH-000076
STL-000077,UTR-SYN-000077,484800,2026-08-05,5025,904,Settlement for INV-000077 batch BATCH-000077,BATCH-000077
STL-000078,UTR-SYN-000078,28876900,2026-08-21,538122,96861,Settlement for INV-000078 batch BATCH-000078,BATCH-000078
STL-000079,UTR-SYN-000079,729100,2026-08-05,14465,2603,Settlement for INV-000079 batch BATCH-000079,BATCH-000079
STL-000080,UTR-SYN-000080,274600,2026-08-26,6691,1204,Settlement for INV-000080 batch BATCH-000080,BATCH-000080
STL-000081,UTR-SYN-000081,861100,2026-08-04,14506,2611,Settlement for INV-000081 batch BATCH-000081,BATCH-000081
STL-000082,UTR-SYN-000082,4480800,2026-08-25,104722,18849,Settlement for INV-000082 batch BATCH-000082,BATCH-000082
STL-000083,UTR-SYN-000083,48545700,2026-08-06,1026976,184855,Settlement for INV-000083 batch BATCH-000083,BATCH-000083
STL-000084,UTR-SYN-000084,837300,2026-08-27,16381,2948,Settlement for INV-000084 batch BATCH-000084,BATCH-000084
STL-000085,UTR-SYN-000085,954000,2026-08-09,15834,2850,Settlement for INV-000085 batch BATCH-000085,BATCH-000085
STL-000086,UTR-SYN-000086,2536700,2026-08-11,59347,10682,Settlement for INV-000086 batch BATCH-000086,BATCH-000086
STL-000087,UTR-SYN-000087,17124700,2026-08-23,210498,37889,Settlement for INV-000087 batch BATCH-000087,BATCH-000087
STL-000088,UTR-SYN-000088,3718800,2026-08-18,63178,11372,Settlement for INV-000088 batch BATCH-000088,BATCH-000088
STL-000089,UTR-SYN-000089,11300,2026-08-25,210,37,Settlement for INV-000089 batch BATCH-000089,BATCH-000089
STL-000090,UTR-SYN-000090,20655900,2026-08-27,336387,60549,Settlement for INV-000090 batch BATCH-000090,BATCH-000090
STL-000091,UTR-SYN-000091,16562500,2026-08-08,233432,42017,Settlement for INV-000091 batch BATCH-000091,BATCH-000091
STL-000092,UTR-SYN-000092,22622800,2026-08-24,282234,50802,Settlement for INV-000092 batch BATCH-000092,BATCH-000092
STL-000093,UTR-SYN-000093,6413800,2026-08-19,118436,21318,Settlement for INV-000093 batch BATCH-000093,BATCH-000093
STL-000094,UTR-SYN-000094,12114500,2026-08-06,130282,23450,Settlement for INV-000094 batch BATCH-000094,BATCH-000094
STL-000095,UTR-SYN-000095,2387100,2026-08-11,51127,9202,Settlement for INV-000095 batch BATCH-000095,BATCH-000095
STL-000096,UTR-SYN-000096,43800,2026-08-16,450,81,Settlement for INV-000096 batch BATCH-000096,BATCH-000096
STL-000097,UTR-SYN-000097,60200,2026-08-25,1466,263,Settlement for INV-000097 batch BATCH-000097,BATCH-000097
STL-000098,UTR-SYN-000098,9100,2026-08-20,111,19,Settlement for INV-000098 batch BATCH-000098,BATCH-000098
STL-000099,UTR-SYN-000099,875800,2026-08-15,17946,3230,Settlement for INV-000099 batch BATCH-000099,BATCH-000099
STL-000100,UTR-SYN-000100,83500,2026-08-25,1861,334,Settlement for INV-000100 batch BATCH-000100,BATCH-000100
